theatre_id;title;author;director;url;start_date;end_date;salle;type;editorspick
comedie-francaise;Les Bonnes;Jean Genet;Carme Portaceli;https://www.comedie-francaise.fr/2026-2027/les-bonnes;17/09/2026;25/10/2026;Athénée Théâtre Louis-Jouvet;théâtre;
comedie-francaise;Le Legs;Marivaux;Aurélien Hamard-Padis;https://www.comedie-francaise.fr/2026-2027/le-legs;24/09/2026;08/11/2026;Studio-Théâtre;théâtre;
comedie-francaise;La Musica deuxième;Marguerite Duras;Arnaud Desplechin;https://www.comedie-francaise.fr/2026-2027/la-musica-deuxieme;30/09/2026;11/11/2026;Théâtre du Vieux-Colombier;théâtre;
comedie-francaise;Ruy Blas;Victor Hugo;Julie Duclos;https://www.comedie-francaise.fr/2026-2027/ruy-blas;15/10/2026;27/01/2027;Salle Richelieu;théâtre;
comedie-francaise;Les Fourberies de Scapin;Molière;Denis Podalydès;https://www.comedie-francaise.fr/2026-2027/les-fourberies-de-scapin;27/10/2026;17/01/2027;Salle Richelieu;théâtre;
comedie-francaise;Le Suicidé;Nicolaï Erdman;Stéphane Varupenne;https://www.comedie-francaise.fr/2026-2027/le-suicide;13/11/2026;27/12/2026;Salle Richelieu;théâtre;
comedie-francaise;Résurrection;Leïla Slimani;Simon Delétang;https://www.comedie-francaise.fr/2026-2027/resurrection;25/11/2026;03/01/2027;Théâtre du Vieux-Colombier;théâtre;
comedie-francaise;C'est beau;Nathalie Sarraute;Clément Hervieu-Léger;https://www.comedie-francaise.fr/2026-2027/cest-beau;26/11/2026;14/01/2027;Studio-Théâtre;théâtre;
comedie-francaise;L'Avare;Molière;Lilo Baur;https://www.comedie-francaise.fr/2026-2027/lavare;30/11/2026;09/03/2027;Salle Richelieu;théâtre;
comedie-francaise;L'École de danse;Carlo Goldoni;Clément Hervieu-Léger;https://www.comedie-francaise.fr/2026-2027/lecole-de-danse;18/12/2026;22/03/2027;Salle Richelieu;théâtre;
comedie-francaise;L'Événement;Annie Ernaux;Denis Podalydès;https://www.comedie-francaise.fr/2026-2027/levenement;12/01/2027;31/01/2027;Théâtre du Vieux-Colombier;théâtre;
comedie-francaise;Le Cid;Pierre Corneille;Denis Podalydès;https://www.comedie-francaise.fr/2026-2027/le-cid;15/01/2027;01/06/2027;Salle Richelieu;théâtre;
comedie-francaise;Hécube, pas Hécube;Tiago Rodrigues;Tiago Rodrigues;https://www.comedie-francaise.fr/2026-2027/hecube-pas-hecube;28/01/2027;18/04/2027;Salle Richelieu;théâtre;
comedie-francaise;La Fournaise;Ananda Devi;Lolita Tergémina;https://www.comedie-francaise.fr/2026-2027/la-fournaise;04/02/2027;14/03/2027;Studio-Théâtre;théâtre;
comedie-francaise;Berlin mon garçon;Marie NDiaye;Mariame Clément;https://www.comedie-francaise.fr/2026-2027/berlin-mon-garcon;24/02/2027;26/03/2027;Théâtre du Vieux-Colombier;théâtre;
comedie-francaise;La vie est un songe;Pedro Calderón de la Barca;Benjamin Lazar;https://www.comedie-francaise.fr/2026-2027/la-vie-est-un-songe;11/03/2027;20/06/2027;Salle Richelieu;théâtre;
comedie-francaise;La Rose, la Bête et l'Enfant;Simon Falguières;Simon Falguières;https://www.comedie-francaise.fr/2026-2027/la-rose-la-bete-et-lenfant;01/04/2027;23/05/2027;Studio-Théâtre;théâtre;
comedie-francaise;Les Femmes savantes;Molière;Emma Dante;https://www.comedie-francaise.fr/2026-2027/les-femmes-savantes;01/04/2027;15/07/2027;Salle Richelieu;théâtre;
comedie-francaise;Le Bourgeois gentilhomme;Molière;Valérie Lesort et Christian Hecq;https://www.comedie-francaise.fr/2026-2027/le-bourgeois-gentilhomme;16/04/2027;25/07/2027;Salle Richelieu;théâtre;
comedie-francaise;Après-guerre;Simone de Beauvoir;Constance Meyer;https://www.comedie-francaise.fr/2026-2027/apres-guerre;21/04/2027;30/05/2027;Théâtre du Vieux-Colombier;théâtre;
comedie-francaise;Déshonorée;Saverio La Ruina;Françoise Gillard;https://www.comedie-francaise.fr/2026-2027/deshonoree;27/04/2027;09/05/2027;Théâtre 14;théâtre;
comedie-francaise;L'Envers du music-hall;Colette;Serge Bagdassarian;https://www.comedie-francaise.fr/2026-2027/lenvers-du-music-hall;27/05/2027;27/06/2027;Studio-Théâtre;théâtre;
comedie-francaise;Ce que j'appelle oubli;Laurent Mauvignier;;https://www.comedie-francaise.fr/2026-2027/ce-que-jappelle-oubli;02/06/2027;04/07/2027;Studio-Théâtre;théâtre;
comedie-francaise;Les Fausses Confidences;Marivaux;Christophe Honoré;https://www.comedie-francaise.fr/2026-2027/les-fausses-confidences;03/06/2027;25/07/2027;Salle Richelieu;théâtre;
comedie-francaise;La Souricière;Agatha Christie;Lilo Baur;https://www.comedie-francaise.fr/2026-2027/la-souriciere;09/06/2027;18/07/2027;Théâtre du Vieux-Colombier;théâtre;
comedie-francaise;La Tour de Nesle;Alexandre Dumas;Thomas Jolly;https://www.comedie-francaise.fr/2026-2027/la-tour-de-nesle;06/07/2027;31/07/2027;Jardin des Tuileries;théâtre;
odeon;Trilogia Cadela Força – Intégrale [Capítulos I, II, III];Carolina Bianchi;Carolina Bianchi;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/carolina-bianchi-cara-de-cavalo-integrale-capitulos-1-2-3-trilogia-cadela-forca-s26-27;19/09/2026;27/09/2026;Odéon Paris 6;théâtre;
odeon;Capítulo I – A Noiva e o Boa Noite Cinderela;Carolina Bianchi;Carolina Bianchi;https://www.theatre-odeon.eu/fr/saison-2026-2027/spectacles-2026-2027/carolina-bianchi-cara-de-cavalo-capitulo-1-a-noiva-e-o-boa-noite-cinderela-s26-27;23/09/2026;30/09/2026;Odéon Paris 6;théâtre;
